ward_num,shapeName,mean_HII,ndvi_green_fraction,ghsl_informal,population,hii_norm,informal_norm,green_deficit_norm,pop_norm,hii_rank,informal_rank,green_deficit_rank,Score_A,Score_B,Score_C,rank_A,rank_B,rank_C,cooling_score,Cooling_Priority_Tier,healthcare_dist_km,urgent_flag
80,Ward No-80 (Part),2.412700046018041,0.0307426542963422,76466.84810522568,13861.290203977098,0.2936849302871766,0.3158231208812304,0.9571810585974156,0.0,0.3369565217391304,0.6413043478260869,0.9130434782608696,0.6241304347826087,0.5570652173913043,0.6331521739130435,28,41,26,0.4202898550724638,Low,1.0470176657828725,False
92,Ward No-92,3.487147591373675,0.0257149065165672,29589.190992229283,21125.82196457808,0.6002215847672703,0.0905780054120574,0.9659138947408612,0.0237618407228501,0.8152173913043478,0.0978260869565217,0.9565217391304348,0.6169565217391304,0.6711956521739131,0.4918478260869565,29,20,49,0.6123188405797102,High,1.1374127371039948,False
81,Ward No-81,2.831393338247781,0.0573200379307421,58965.68461079786,35133.64213615868,0.4131368678044051,0.2317307870291964,0.9110180554860916,0.0695805669340339,0.5652173913043478,0.4565217391304347,0.8152173913043478,0.6061956521739129,0.6005434782608695,0.5733695652173912,30,31,41,0.5434782608695652,Moderate,1.4435245773719545,False
38,Ward No-38 (Part),3.4952168353187174,0.266431812246745,79776.97779407793,98238.65188323372,0.6025237158054851,0.3317281509083551,0.5478059492398751,0.2759932084970261,0.8260869565217391,0.6739130434782609,0.3260869565217391,0.6026086956521739,0.6630434782608696,0.625,31,24,28,0.6304347826086957,High,2.3482278961941754,False
86,Ward No-86,3.728879363857737,0.1092691305324442,43740.73099802045,34745.95584357767,0.6691869327166493,0.1585755432366883,0.8207862194110438,0.0683124686947635,0.8804347826086957,0.2717391304347826,0.6739130434782609,0.6026086956521739,0.6766304347826086,0.5244565217391304,31,18,46,0.5978260869565217,High,2.575319906800273,False
07,Ward No-07 (Part),2.808617501059066,0.2771177741672305,165092.11494807582,161629.07944659056,0.4066389899275459,0.7416636959634193,0.5292452022465417,0.4833394343450695,0.5543478260869565,0.9782608695652174,0.2717391304347826,0.5954347826086956,0.5896739130434783,0.6956521739130436,33,34,15,0.5615942028985508,High,1.7586857998441432,False
26,Ward No-26,2.64397620873748,0.1474377845738151,91252.15228582532,186165.7289087033,0.3596673242043641,0.3868658681622738,0.7544900136029496,0.5635973195887147,0.4565217391304347,0.8043478260869565,0.5434782608695652,0.5954347826086956,0.5652173913043479,0.6521739130434783,33,37,23,0.6449275362318841,Very High,1.498609599514564,False
29,Ward No-29,2.762886939052106,0.1073053295116866,76430.50627934281,46790.062061982986,0.3935921980709289,0.3156484999792596,0.8241972004872216,0.1077080062245161,0.4891304347826087,0.6304347826086957,0.6847826086956522,0.5954347826086956,0.5733695652173914,0.6086956521739131,33,36,32,0.5253623188405797,Moderate,2.111522420179996,False
61,Ward No-61,2.503350297109197,0.1843669988411693,132392.89902869644,53744.529685824535,0.3195471743933474,0.584545377363191,0.6903466255037503,0.1304556460498626,0.4130434782608695,0.9347826086956522,0.4565217391304347,0.5954347826086956,0.5543478260869565,0.6847826086956521,33,42,18,0.431159420289855,Low,0.953238020511179,False
76,Ward No-76 (Part),2.8638157692081503,0.1690558389630048,79834.41323953086,43156.32966763365,0.4223868898828805,0.3320041257402858,0.7169410085632943,0.0958222889849997,0.5978260869565217,0.6847826086956522,0.5,0.5882608695652174,0.595108695652174,0.6168478260869565,37,33,30,0.4818840579710144,Moderate,1.4452780005076789,False
